,Sun x,Sun y,Sun z,Magnetometer x,Magnetometer y,Magnetometer z,Earth x,Earth y,Earth z,Angular momentum of wheels x,Angular momentum of wheels y,Angular momentum of wheels z,Sun in view,Current fault
1251,0.0,0.0,0.0,1.3446185969769156e-06,-2.1682653214581832e-07,4.0347467408498574e-07,-6743035.331269952,-884943.9165861899,1038418.0221523289,2.098601459848109e-06,7.636735245257637e-07,-1.7036864334287892e-06,False,None
1252,0.0,0.0,0.0,1.3510697399594322e-06,-2.166405267689658e-07,4.0436461433455124e-07,-6742879.118899316,-879372.1194700741,1041190.6243487336,2.100956989751718e-06,7.648943580936112e-07,-1.7068311863119063e-06,False,None
1253,0.0,0.0,0.0,1.2161932732556895e-06,-1.8915720384365294e-07,3.651185341092477e-07,-6750885.707141605,-888921.599698122,1052110.304803279,2.103311773707728e-06,7.661161680708228e-07,-1.7099790125589783e-06,False,None
1254,0.0,0.0,0.0,1.2373321741519618e-06,-1.8571914419740017e-07,3.7365358177819636e-07,-6745828.213758607,-898018.342484043,1065448.2781391335,2.1056658050455085e-06,7.6733895319693e-07,-1.713129911432991e-06,False,None
1255,0.0,0.0,0.0,1.382423260777049e-06,-1.9628766994219634e-07,4.155885755164216e-07,-6733081.506153984,-891895.0671522277,1080290.5666688953,2.108019073642258e-06,7.685627200824944e-07,-1.7162838805933578e-06,False,None
1256,0.0,0.0,0.0,1.3915428093286235e-06,-2.0779545828525424e-07,4.1802508518126627e-07,-6735281.4428038625,-885395.7434985188,1066580.8843764684,2.1103715702324696e-06,7.697874672367507e-07,-1.71944091894896e-06,False,None
1257,0.0,0.0,0.0,1.3783156476162348e-06,-2.0133172460151727e-07,4.1303283324419086e-07,-6735629.884395304,-886816.7530636131,1070180.3533111745,2.112723303558497e-06,7.710131995069106e-07,-1.7226010270399148e-06,False,None
1258,0.0,0.0,0.0,1.0988345981997796e-06,-1.5229835309151922e-07,3.303022064480268e-07,-6754747.316727389,-897130.8329873637,1090683.258166942,2.115074272168865e-06,7.722399072574958e-07,-1.7257642060303693e-06,False,None
1259,0.0,0.0,0.0,1.3163356116062512e-06,-1.8097593441493152e-07,3.95274116232662e-07,-6736496.083436308,-897349.5640484261,1086698.6505147575,2.1174244643736843e-06,7.734675957106222e-07,-1.7289304535302042e-06,False,None
1260,0.0,0.0,0.0,1.2015945157924615e-06,-1.5273533062685087e-07,3.586787581855908e-07,-6743147.082024059,-894683.4078362773,1108131.7095563915,2.119773881403965e-06,7.746962537292231e-07,-1.7320997712869754e-06,False,None
