,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
55,[-0.69569251  0.34005825  0.63276341],[-0.85041654 -0.35836277 -0.38518546],[ 2.24370502e-10 -1.65072571e-17 -1.00000000e+00],[ 1.00779985e-67  7.37113891e-09 -2.15155438e-78],[ 3.93879283e-70 -3.27121729e-32 -5.91993057e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
56,[-0.69499698  0.34005798  0.63353042],[-0.85156587 -0.35697191 -0.38393571],[ 2.28449965e-10 -3.80948972e-69 -1.00000000e+00],[ 1.12968874e-67  7.63918033e-09 -2.48584340e-78],[ 4.31020864e-70 -3.39017061e-32 -6.94946353e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
57,[-0.69428986  0.34006233  0.63428759],[-0.85282059 -0.35528896 -0.38270981],[ 2.32529495e-10 -4.24051058e-69 -1.00000000e+00],[ 1.26382018e-67  7.91200820e-09 -2.86472089e-78],[ 4.70912763e-70 -3.51124810e-32 -8.13515838e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
58,[-0.69358503  0.34005913  0.63505575],[-0.85395037 -0.35369627 -0.3816644 ],[ 2.36608893e-10 -1.65072596e-17 -1.00000000e+00],[ 1.41118390e-67  8.18962252e-09 -3.29319009e-78],[ 5.13704965e-70 -3.63444975e-32 -9.49735896e-99],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
59,[-0.69287896  0.34005822  0.63582131],[-0.85514767 -0.35198485 -0.38056422],[ 2.40688422e-10  1.65072604e-17 -1.00000000e+00],[ 1.57283115e-67  8.47202330e-09 -3.77671357e-78],[ 5.59552812e-70 -3.75977556e-32 -1.10586396e-98],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
60,[-0.69217609  0.34005588  0.6365784 ],[-0.85638178 -0.3503095  -0.37933297],[ 2.44767820e-10 -1.65072613e-17 -1.00000000e+00],[ 1.74987748e-67  8.75921053e-09 -4.32124638e-78],[ 6.08617093e-70 -3.88722554e-32 -1.28440055e-98],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
61,[-0.69147751  0.34005889  0.63735163],[-0.85746914 -0.34862586 -0.37842659],[ 2.48847218e-10 -6.39329822e-69 -1.00000000e+00],[ 1.94350551e-67  9.05118421e-09 -4.93327092e-78],[ 6.61064145e-70 -4.01679968e-32 -1.48811065e-98],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
62,[-0.69078756  0.34005735  0.63810247],[-0.85871599 -0.34678405 -0.37728991],[ 2.52926747e-10  3.30145260e-17 -1.00000000e+00],[ 2.15496781e-67  9.34794435e-09 -5.61983364e-78],[ 7.17065940e-70 -4.14849798e-32 -1.72004668e-98],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
63,[-0.69008384  0.34006151  0.63888233],[-0.85993628 -0.34502055 -0.37612554],[ 2.57006145e-10  1.65072639e-17 -1.00000000e+00],[ 2.38558995e-67  9.64949094e-09 -6.38858369e-78],[ 7.76800183e-70 -4.28232045e-32 -1.98357294e-98],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
64,[-0.68937139  0.34005672  0.63963387],[-0.86108363 -0.34341503 -0.37496814],[ 2.61085675e-10  1.65072648e-17 -1.00000000e+00],[ 2.63677343e-67  9.95582399e-09 -7.24781341e-78],[ 8.40450406e-70 -4.41826707e-32 -2.28239174e-98],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
